title,authors,date,first_p
The 5Cs need a grass culture,Parishi Kanuga,2024-04-05T03:39:00Z,"parishi kanuga cm ’26 came to the 5cs excited to spend time on the numerous green spaces provided, but has only been disappointed."
Why Ariana Grande’s “Eternal Sunshine” perfectly captures the 5C dating experience,Tess McHugh,2024-04-05T03:10:00Z,"ariana grande’s newest album reflects the struggles of dating, and tess mchugh po ’25 thinks that 5c students could learn a thing or two from her lyrics. "
Body hair and bare ass: I want to see it all,Jada Shavers,2024-03-29T05:50:00Z,"through the possibility of walking to trader joe’s with a bare ass swinging in the wind, jada shavers sc’26 presents an entirely different world. "
Roots and routes: Closing the distance between identity and home,Grace Kim,2024-03-29T05:26:00Z,"feeling homesick and lost, grace kim sc ’27 shares finding comfort – and a part of herself – with scripps’ asian american sponsor program (aasp). "
The illusion of choice feminism,Anjali Suva,2024-03-29T03:54:00Z,"tired of the “not like other girls” cliche? so is anjali suva po ’27, especially when it disguises a form of feminism that sets extremes for the women it is supposedly “setting free.”"
The problem with ‘problematic’,Anjali Suva,2024-03-22T06:13:00Z,"the popular online space of booktok raises an abundance of critiques, but anjali suva po `27 questions its claims to harmful and problematic material."
Stop saying sorry,Parishi Kanuga,2024-03-22T04:27:00Z,"catching herself in an unnecessary apology, parishi kanuga cm ’26 is peeved at the instinctual “sorry” that women are socialized to."
The ultimate plug for the vegetarian diet,Tess McHugh,2024-03-22T04:24:00Z,for the past two and a half months tess mchugh po`25 switched to a vegetarian diet finding unexpected results and unsettling backlash.
Bringing back community gardens with Huerta del Valle: Setting an example for community gardening everywhere,"Wynne Chase, Fia Powers and Cameron Macdonald",2024-03-08T06:00:00Z,"cameron macdonald pz ’25, fia powers pz ’25 and wynne chase pz ’26 are finding a solution to the trauma, health risk, food insecurity and a general lack of care for communities through the work of huerta del valle’s community gardens. "
I’m not ‘just a girl’,Anjali Suva,2024-03-08T04:49:00Z,"social media is buzzing with bows, ruffles, matcha lattes and all things pink, but anjali suva po ’27 feels like it is all fake. "
On the 5Cs’ incentive culture,Thomas Merrilees,2024-03-08T04:48:00Z,"“free food!” seems to be a priority for most events on campus, and thomas merrilees pz ’26 is disturbed by the relationship."
"SHS has made great steps for HIV prevention, but the struggle to access HIV care isn’t over",Adam Akins,2024-03-01T04:59:00Z,"despite great bounds in state legislature and services provided by student health services for hiv preventative medicine, adam akins pz ‘27 argues that a lack of knowledge, training and care for the queer and minority communities affected still remains. "
Beyond the bargains: How resellers are changing thrift culture for the worse,Grace Kim,2024-03-01T04:24:00Z,"grace kim sc ’27 has watched as resellers invade piles at goodwill bins, but she refuses to watch them demolish the good practices that thrifting instills."
"Don’t be scared, embrace the nuanced art of horror films",Tess McHugh,2024-03-01T04:22:00Z,"american horror films are tess mchugh’s po `25 dream, and she understands that the gore isn’t for everyone. but, mchugh argues that it should be."
"Yes, reverse culture shock is a real thing",Tess McHugh,2024-02-23T04:45:00Z,"studying abroad is a life-changing experience, but tess mchugh po ’25 shares that without proper preparation, the return to the united states could ruin it all."
Being bored doesn’t have to be boring,Parishi Kanuga,2024-02-23T03:42:00Z,"waiting in a long line can be easily avoided by scrolling through tiktok, but parishi kanuga cm ’26 sees the beauty in being bored. "
Queer Imposter Syndrome as an Asian American,Anjali Suva,2024-02-23T03:40:00Z,"at the 5c’s, the queer experience fills every corner of campus life, but anjali suva po ’27 often finds herself outside of the loop. "
Why a referendum ‘yes’ vote actually matters,Ben Brady,2024-02-19T09:51:00Z,ben brady po ’25 argues that pomona college’s upcoming aspc referendum gauging student opinion on pomona college’s investments in israel is an opportunity for students to take part in galvanizing a broader societal shift.
What Pomona’s referendum will do wrong,"Leo Kalb Bourke, Emilio N. Bankier and Noah Rinsler",2024-02-19T09:23:00Z,"emilio n. bankier po ’27, leo kalb bourke po ’25 and noah rinsler po ’26 argue that pomona college’s upcoming referendum vote on whether pomona should divest from “the apartheid system in the state of israel” has been unfairly presented to students through biased language and a loosening of aspc senate rules."
So tired of Taylor,Frances Smith and Aaron Matsuoka,2024-02-16T06:00:00Z,frances smith pz ’26 and aaron matsuoka pz ’26 are at their breaking point of all things taylor swift.
To-do: Surviving the Post-Valentine’s Day Blues,Jada Shavers,2024-02-16T05:58:00Z,"feeling alone, scared and fragile after valentine’s day? jada shavers sc `26 offers a 5-part list of the to-do’s to get you through the holiday."
Embracing Y/N: The merits of fanfiction and fan culture,Grace Kim,2024-02-16T04:23:00Z,"sites such as wattpad, archive of our own, and fanfiction.net house the beauty of fanfiction, and grace kim sc `27 doesn’t understand the shame. "
Obsessing over Snapchat? It’s not that deep,Tess McHugh,2024-02-09T06:40:00Z,"social media controls our lives, but tess mchugh po ’25 is urging snapchat users to recognize the misplaced intentions of these online interactions. "
The Unspoken Importance of Unnecessary Language,Frances Smith,2024-02-09T06:40:00Z,"portrayed as unnecessary language, frances smith pz `26 shows the ways that “like,” “um” and “y’know” are essential tools for many individuals."
"Pomona’s Mental Health Resources Are Too Little, Too Late",Anjali Suva,2024-02-09T04:49:00Z,"after her recent adhd diagnosis, anjali suva po `27 reflects in disbelief at the lack of support pomona college provided her during finals week."
"Dear SNL, Jacob Elordi is more than just a sexy man",Grace Kim,2024-02-02T05:40:00Z,"last weekend, jacob elordi’s visual allure enticed audiences to saturday night live’s (snl) comedic stage and grace kim sc `27 is thoroughly disappointed."
"It’s okay that Margot Robbie didn’t get nominated, and here’s why",Nandini Nair,2024-02-02T05:38:00Z,"on jan. 23, the 96th oscar nominations were released and after a night of surprising wins and distraught losses, nandini nair cgu `24 questions the results."
Unmasking bias: The human element in algorithmic decision-making,Ella Francis,2024-02-02T05:37:00Z,"the potentials of ai are tremendously daunting, and ella francis pz `25 argues against the assumed impartial decision-making of ai algorithms."
IMS’s lack of production courses is discrediting their mission statement,Tess McHugh,2024-02-02T05:35:00Z,tess mchugh po `25 has noticed her transcript is overwhelmed with theory classes and lacking in the production courses required of her media studies major. 
"Mewing, mogging and male models — is Looksmaxxing the key to acceptance?",Anjali Suva,2023-12-01T07:42:00Z,anjali suva po ’27 believes that looksmaxxing — an online trend popular among young men that promotes maximizing physical attractiveness through dubious regimens — should be reevaluated. 
Beyond Taylor’s jets: How Claremont students can pave the way for climate justice,David De Souza,2023-12-01T06:05:00Z,david de souza po ’24 believes that claremont students have a unique responsibility in the fight for climate justice.
The 5Cs need to fix their professor review system,Rowan Gray,2023-12-01T04:39:00Z,"the 5cs are in dire need of a new professor review system, writes rowan gray cm ’26. "
I didn’t moralize food — and event organizers should cut back on it,Rowan Gray,2023-11-15T04:37:00Z,rowan gray cm ’26 responds to a response article defending himself on his anti-sugar piece.
"BIPOC upperclassmen, thank you for doing the work you shouldn’t have to",Lizette Gonzalez,2023-11-15T04:33:00Z,"upperclassmen have helped lizette gonzalez po ’27 feel at home at the 5cs, and questions why the administration didn’t step up."
Think beyond the (PERM) box: Reconsidering late registration,Michelle Zhang,2023-11-15T04:26:00Z,michelle zhang po ’27 is here to remind you that a late course registration time is not the end of the world.
Tired of online multiplayer? Try gaming like it’s 2005,Liam Martin,2023-11-15T03:43:00Z,"liam martin hm ’24 encourages his peers to leave their gaming-alone-in-the-dark-for-hours days behind, and instead, try something new: a lan party."
"In the face of a genocide, Palestine deserves more from Pomona College",Sarah Burch,2023-11-10T06:22:00Z,"sarah burch po ’22, a pomona college alumna, argues that the college is inadequately supporting palestine."
Don’t sacrifice our community for the sake of campus advocacy,Izzy Sabatino,2023-11-10T05:46:00Z,izzy sabatino po ’26 wants students to understand their roles during times of tension and prioritize empathy over advocacy.
"For the love of God, can we please stop moralizing food?",Cecelia Blum,2023-11-10T04:50:00Z,cecelia blum sc ’24 responds a recent opinion article that described the drawbacks of sugar consumption. 
Halloween deserves more,Anjali Suva,2023-11-10T04:46:00Z,anjali suva po ’26 makes the case for why professors should encourage celebrating halloween.
A case against ‘overcoming’: shifting mental illness rhetoric toward recovery and care,Sara Cawley,2023-11-10T03:16:00Z,sara cawley sc ’26 asks that we work to change the narrative that overcoming is necessary when living with mental illness.
Don’t let imposter syndrome scare you away from STEM,Joanne Oh,2023-11-03T07:57:00Z,"from refugee and humanitarian crises to cyber security issues, our society faces more challenges than ever before. to tackle these modern challenges, we need modern solutions — and oftentimes, science has the answer. the number of women in stem has been steadily increasing, with a 31 percent increase between 2011"
Stop censoring Palestinian voices on campus,Dania Anabtawi and Ayelet Kaminski,2023-11-03T06:05:00Z,dania anabtawi po ’26 and university of vermont sophomore ayelet kaminski push their peers and institutions to acknowledge palestinian voices.
5C administration and student leaders should cut back on the sweets,Rowan Gray,2023-11-03T04:09:00Z,"tw: this article contains mentions of eating disorders and food restrictions. today, i’m going to talk about the second most dangerous white powder on campus. unlike the first most dangerous, which is a bit tricky to get unless you have the right friends, this one is everywhere: added sugar. and"
My name is not your choice,Vaidehi Srinivasan,2023-10-27T05:36:00Z,what’s in a name? vaidehi srinivasan po ’27 says it’s up to you to decide.
Too hot to handle: How 5C students can tackle climate change,Joanne Oh,2023-10-27T05:36:00Z,"climate change can feel inevitable. joanne oh pz ’25 is here to say we can still fight back, especially with our resources as students at the 5cs."
It’s okay to like Instapoetry,Corina Yi,2023-10-27T05:12:00Z,"from booktok to the new york times, commentary over instapoetry (mostly negative, at that) has surprised corina yi po ’27."
Don’t be afraid to study what makes you passionate,Lizette Gonzalez,2023-10-27T04:50:00Z,"“what are you majoring in?” lizette gonzalez po ’27 has advice about finding pride in one’s passion-driven major, despite people’s reactions to it."
A Love Letter to Qwalala — and to CMC,Kahani Malhotra,2023-10-13T03:58:00Z,"the snaking glass sculpture in mid-quad is a controversial new addition to cmc’s campus. kahani malhotra cm ’27 proclaims her ardent love for the art piece, and asks critics to hear her out on why they should appreciate it too. "
Fending off ‘Fizzimism’,Anjali Suva,2023-10-13T03:02:00Z,"fizz is the hub of all things 5cs. although perfect for memes and mindless scrolling, anjali suva po ’27 wonders whether it’s giving us a disproportionately pessimistic view of our college experiences."
How to find joy in mundanity,Michelle Zhang,2023-10-13T02:57:00Z,feeling mundanity settle into your life at the 5cs? michelle zhang po ’27 is here to help guide you through it.
Studying abroad on financial aid comes with extra baggage,Klara Jacobs,2023-10-06T06:01:00Z,"amidst the stories of glamorous romances in foreign countries and life-changing adventures, klara jacobs pz ’24 gives a realistic take on what studying abroad looks like for a 5c student, especially for one on financial aid."
"No, going barefoot is not praxis",Rowan Gray,2023-10-06T06:00:00Z,"in response to a tsl article last week highlighting the benefits of walking barefoot, rowan gray cm ’26 has to put his foot down. "
How NOT to interview Atsuko Okatsuka,Lucia Marquez-Uppman,2023-10-06T05:59:00Z,"lucia marquez-uppman sc ’25 entered atsuko okatsuka’s standup performance feeling elated, but left shocked by the q-and-a the comedian faced."
Take a class! (on Latin American history),Aaron Matsuoka,2023-09-29T08:23:00Z,aaron matsuoka pz ’26 argues the importance of education on latin american history.
5C students should ditch the 1-10 ‘hotness’ scale,Vaidehi Srinivasan,2023-09-29T07:44:00Z,"if you’ve heard the misogynistic whisperings of women being ranked on their looks around campus and have felt freaked out, vaidehi srinivasan po ’27 wants you to know that you’re not alone."
Respect for dining hall workers starts with a smile,Lizette Gonzalez,2023-09-29T07:43:00Z,lizette gonzalez po ’27 has an important message: say “hello” and “thank you” to our dining workers.
Can we eliminate ASPC apathy?,Anjali Suva,2023-09-22T05:01:00Z,"for many first-years, aspc elections can elicit disillusionment and apathy, writes anjali suva po ’27."
Pitzer Administrators failed their students and core values last year. It doesn’t have to happen again.,Sophie McClain,2023-09-22T03:28:00Z,sophie mcclain pz ’24 expresses her frustration with pitzer college’s administration during the previous academic year. 
Hear me out on Collins,Rowan Gray,2023-09-22T02:42:00Z,rowan gray cm ’26 argues that collins dining hall embodies what it means to be a cmc student.
A message to first-generation Latine first-years,Lizette Gonzalez,2023-09-15T06:27:00Z,"lizette gonzalez po ’27 is a first-gen, latine first-year. safe spaces have been crucial during her transition to the 5cs, but she has noticed a major issue with actually addressing the major culture shock experienced by students like her. "
"First-year FOMO feels unavoidable, but you’re not alone",Michelle Zhang,2023-09-15T06:15:00Z,"reckoning with fomo during first-year orientation week can feel impossible. but don’t worry! you’re not alone, writes michelle zhang po ’27."
"Professors, ChatGPT isn’t the enemy",Joanne Oh,2023-09-15T06:07:00Z,"despite the frightening claims of the existential threat of ai, particularly on scholarly work and human thought, joanne oh pz ’25 wants us to realize it’s not all bad: this is an opportunity to grow with technology rather than against it."
Diversity & Inclusion: A summary of staff demographics and projects,Annika White and Manan Mendiratta,2023-04-28T07:38:00Z,"as the 7cs’ paper of record, we aim to serve our community by telling the stories that matter. in the spirit of holding our organization accountable and devoted to transparency, we are releasing the findings from our staff demographics survey this spring. "
Lessons from the Latin American feminist movement,"Mariana Duran, Sara Garza Gonzalez, Arianne Ohara and Katherine Shepherd",2023-04-28T06:54:00Z,"before the school year comes to a close and walker beach is wiped clean, latin american students mariana duran po ’24, sara garza gonzález po ’25, arianne o’hara pz ’25 and katherine shepherd po ’23 contextualize a mural painted earlier this spring. "
"On this World Malaria Day, none of us are healthy until everyone is healthy",MaryAnn Ngozi Obidike,2023-04-28T05:56:00Z,"malaria has had an incredible impact on millions of lives, but it continues to lack recognition on a global scale. maryann ngozi obidike cgu ’24 calls attention to the public health crisis in light of world malaria day. "
California Dreamin’ on an Inland Empire day,Sara Wexler,2023-04-28T05:41:00Z,"to sara wexler hm ’26, leaving her land-locked mountain state to come to college in sunny, beachside california was the ticket to success. or was it?"
The Associated Students of Claremont Men’s College,Nisha Singh,2023-04-28T05:14:00Z,"after her term as ascmc’s diversity & inclusion chair, nisha singh cm ’23 shares her experience with its undue emotional labor and misogyny."
Stop calling it the ‘Claremont bubble.’ You’re only making it real,Bella Pettengill,2023-04-21T07:45:00Z,"the disconnect between 5c students and the greater claremont community is artificially constructed, argues inland empire local bella pettengill po ’24. "
An alternate avenue to gratitude,Dania Anabtawi,2023-04-21T05:31:00Z,dania anabtawi po ’26 has an unconventional message for you: be grateful for the negative. 
"CMC, where are your ‘Responsible Leaders?’",Camille Forte,2023-04-21T04:41:00Z,"for camille forte cm ‘23, february’s ascmc resolution hearings have brought the entire ethos of cmc into question."
The RESTRICT Act is more than just a threat to TikTok,Liam Martin,2023-04-14T06:19:00Z,"liam martin hm ’24 agrees that the looming “tiktok ban” is dangerous — but its implications, he argues, go way beyond what was outlined in a recent tsl op-ed."
"No, TikTok regulation isn’t anti-youth",Luke Brown,2023-04-14T05:33:00Z,"luke brown po ’26 refutes a recent op-ed, claiming tiktok’s potential banning should demonstrate the unregulated power of social media."
"Turn your frown upside down, embrace your area requirements",Tess McHugh,2023-04-14T05:31:00Z,tess mchugh po ’25 only took theatrical clown to fulfill an area requirement — but joke’s on her. the class taught her lessons far beyond academics.
The 2010s are back in style — and we don’t need to fight it,Stella Fang,2023-04-14T04:33:00Z,"follow 2010s fashion at your own pace, or don’t follow at all. stella fang po ’26 says: just have fun with it."
"In conflating anti-Zionism with antisemitism, Pomona administrators cause several harms",Daniel Segal,2023-04-14T03:46:00Z,pz professor daniel segal penned the following letter in response to pomona’s “community message” regarding antisemitism and sent it to tsl for publication.
My language isn’t useless,Zeean Firmeza,2023-04-07T06:16:00Z,"two weeks ago, harvard university announced that it will offer a tagalog language course. should the 5cs follow suit? zeean firmeza po ‘26 weighs in."
Mudders no longer uphold the student honor code,Ella Blake,2023-04-07T06:14:00Z,"students’ failure to adhere to harvey mudd’s honor code has resulted in endless cheating and must be deliberately addressed, argues ella blake hm ’23."
The TikTok ban shows just how anti-youth our government is,Rowan Gray,2023-04-07T06:01:00Z,"the potential tiktok ban sheds light on a fundamental generational disconnect, writes rowan gray cm ’26."
"When it comes to post-break testing, ignorance is not bliss",Maggie McBride,2023-03-31T06:53:00Z,pomona announced that covid testing after spring break was optional. maggie mcbride po ’23 argues that this is a risk to community safety.
EDITORIAL BOARD: Keen’s resignation should be a wake up call for Scripps,Editorial Board,2023-03-31T06:10:00Z,the editorial board argues that suzanne keen’s recent resignation not only highlights scripps’ failure to provide secure consistent leadership but calls attention to a bigger problem — the inability to maintain a safe environment for students. 
The medical residency program made saving lives the least desirable job in the world,Joanne Oh,2023-03-31T03:55:00Z,"with a physician shortage right around the corner, the future is looking bleak for pre-medical students – or so predicts guest writer joanne oh pz ‘25. "
How America erased my Persian identity,Tania Azhang,2023-03-24T05:22:00Z,"nowruz, the persian new year, usually brings fond memories to tania azhang pz ‘25. this year, especially in light of the mahsa amini protests, memories of identity erasure are instead resurfacing. "
Rage against The Rave Box: The city of Claremont bullies a POC-owned small business,Chelsea Shi-Chao Liu,2023-03-24T05:13:00Z,"in jan. 2023, janelle huerta and steve morales relocated their popular rave wear store from upland to claremont. then the town shut them down. why? chelsea shi-chao liu cgu ’23 offers her take."
The philanthropic white savior problem – and the mutual aid solution,Linda Phan,2023-03-10T06:20:00Z,"linda phan po ‘24 argues that mutual aid centers the marginalized as organizers, creating a solution to the white savior complex posed by philanthropy. "
The Claremont Colleges should make Election Day a holiday,Madison Lewis,2023-03-10T06:17:00Z,college students are notoriously unreliable when it comes to voter turnout – but madison lewis po ‘24 says colleges have an opportunity to change that. 
The real problem with Mindful Mondays,Hannah Hughes and Sara Anderson,2023-03-10T06:13:00Z,"a recent tsl oped about meatless mondays struck an environmental chord with sara anderson po ‘23, creator of ‘mindful monday,’ and hannah hughes po ‘25: vegetarianism is not the problem."
"No, Meatless Mondays will not cause eating disorders",Daniela Sechen,2023-03-10T05:30:00Z,"daniela sechen hm ‘23 argues that a recent tsl oped about meatless mondays, which draws a connection between vegetarianism as food restriction and disordered eating, trivializes the complexity of a severe mental illness. "
"Letter from the editors: In response to Jill Klein, clarification on our reporting and editing process",Editorial Board,2023-03-03T09:32:00Z,"on feb. 22, tsl’s editorial board received a letter to the editor from pitzer college’s interim president jill klein concerning our coverage of employee maltreatment allegations. the following week, the editorial board responded with a letter of our own. "
Netflix is desensitizing you to murder,Tess McHugh,2023-03-03T06:58:00Z,"“you,” which follows an obsessive stalker through a killing spree, is glorifying murder, argues tess mchugh po ‘25. and the repercussions are serious. "
My identity is not lost in translation at Oldenborg,Vidusshi Hingad,2023-03-03T06:28:00Z,"afraid of losing pieces of her indian identity in college, vidusshi hingad po ’25 sought comfort in an unlikely place – pomona’s langauge halls at oldenborg. she writes about her experiences finding community in oldenborg and learning about cultures beyond her own."
